timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-28,text,false,,834,0,70,70,null,0,0,0
1642073210359,40801,HTTP Request CodeIgniter,200,OK,Thread Group 1-74,text,true,,311904,134,69,69,https://codeigniter.herebussiness.com/,7695,0,2998
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-74,text,false,,834,0,69,69,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-74,text,false,,834,0,69,69,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-74,text,false,,834,0,69,69,null,0,0,0
1642073210004,41173,HTTP Request CodeIgniter,200,OK,Thread Group 1-63,text,true,,311904,134,68,68,https://codeigniter.herebussiness.com/,8590,0,2330
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-63,text,false,,834,0,68,68,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-63,text,false,,834,0,68,68,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-63,text,false,,834,0,68,68,null,0,0,0
1642073209147,42041,HTTP Request CodeIgniter,200,OK,Thread Group 1-34,text,true,,311918,134,67,67,https://codeigniter.herebussiness.com/,8166,0,2904
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-34,text,false,,834,0,67,67,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-34,text,false,,834,0,67,67,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-34,text,false,,834,0,67,67,null,0,0,0
1642073210383,40881,HTTP Request CodeIgniter,200,OK,Thread Group 1-77,text,true,,311904,134,66,66,https://codeigniter.herebussiness.com/,4867,0,1606
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-77,text,false,,834,0,66,66,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-77,text,false,,834,0,66,66,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-77,text,false,,834,0,66,66,null,0,0,0
1642073209674,41745,HTTP Request CodeIgniter,200,OK,Thread Group 1-47,text,true,,311904,134,65,65,https://codeigniter.herebussiness.com/,12446,0,1299
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-47,text,false,,834,0,65,65,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-47,text,false,,834,0,65,65,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-47,text,false,,834,0,65,65,null,0,0,0
